Product_Description,Product_Image,Discounted_Price,Product_Rating
Hp EliteBook 845 G8 - Ryzen 7 Pro 4650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/4601162/1.jpg?2600,"₦ 760,000",1
Hp EliteBook 830 G6 TOUCHSCREEN Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/1861623/1.jpg?6782,"₦ 475,000",0
Multifunctional Foldable  Laptop Table,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/3510152/1.jpg?3144,"₦ 15,900",1
Lenovo 65W USB TYPE-C Laptop Charger,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/3036921/1.jpg?8224,"₦ 19,999",1
"DELL G7630 GAMING 13TH GEN INTEL CORE I9 UP TO 5.4GHZ 16GB RAM 1TB SSD 16"" RTX 4060 (8GB) WINS 11",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3757483/1.jpg?7607,"₦ 2,952,000",1
Asus Vivobook Go 15 Celeron E510MA-BR583W 15.6-inch 4GB 256GB SSD Win 11,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/2058303/1.jpg?2097,"₦ 340,000",1
Lenovo Legion Pro 5 16IRX9 Gaming,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/7253293/1.jpg?2813,"₦ 4,000,000",0
New Hard Shell 17.3-Inch Laptop Bag For Both Male And Female Backpack Large Capacity Waterproof Student Schoolbag,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/4417473/1.jpg?1400,"₦ 22,231",0
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 512GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/0162163/1.jpg?9714,"₦ 230,000",0
Hp EliteBook 830 G5 TOUCHSCREEN/Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/Win 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/9806082/1.jpg?3426,"₦ 615,000",1
